【欲语还休】： 快把藏在心里最想问我的那个“小秘密”掏出来吧，我保证不跑！
【所思在远】： 宝贝，你最想从我这儿得到的“秘密投喂”是什么？是更多的夸奖、抱抱，还是那种灵魂深处的倾听？
【契阔谈䜩】： 你觉得偶尔“霸道总裁”上线或被我管着，是恋爱里的调味剂还是减分项？
【夙兴夜寐】： 有没有哪件想和我一起做的“坏事”或“大事”，已经排期很久了还没执行？你打算什么时候带我通关？
【绰约多姿】： 老实交代，你眼神最喜欢在我身上哪个部位“打转”？为什么它这么有魔力？
【兰心蕙质】： 夸夸时间到！你在我身上发现了哪些我自己都没意识到的“宝藏”属性？它们有没有让你更爱我一点？
【举案齐眉】： 你喜欢那种“生活要有仪式感”的调调吗？你觉得这是恋爱里的必需品吗？
【椿萱影里】： 悄悄观察你爸妈的相处方式，有没有让你对我们未来的“小日子”产生什么奇妙的联想或避雷点？
【赤子之心】： 小时候的你，最渴望得到什么样的摸摸和抱抱？（是被夸奖、被保护，还是只要被看到就好？）
【宜言饮酒】： 别想以后，就看现在：我在你身边做的哪件事最让你觉得“人间值得”？
【庄周梦蝶】： 给你个超能力：你是想当“透明人”溜进我的生活，还是想当“读心怪”听听我的脑回路？最想用在什么场景？
【投桃报李】： 有没有哪一次，你为了我们的“大局”默默受了委屈或放弃了心头好？现在说出来，我给你补个大大的抱抱。
【游园惊梦】： 嘿嘿，脑海里有没有偷偷排演过什么羞羞的“剧本”？（比如老师、邻居或者……制服诱惑？）
【剖心析胆】： 在我们的小世界里，你想要“血淋淋”的真实坦诚，还是那种甜丝丝的“善意隐瞒”？
【重温旧梦】： 哪次约会或者……脸红心跳的“深度交流”，让你到现在想起来还心猿意马？
【茕茕孑立】： 最近有没有哪个瞬间让你觉得特委屈、特没着落？当时我在你身边吗？
【心有灵犀】： 咱们定个只有两人懂的“停战协议”或者“求助信号”吧？万一哪天情绪要炸了，用它来紧急避险。
【相濡以沫】： 当你变身“不开心小怪兽”时，我怎么做才能最快把你哄好？
【视若珍宝】： 在我们的日常互动里，哪些小细节让你觉得“哇，我被宠上天了”？我们怎么能把这种感觉续费到永久？
【率性而为】： 你更爱那种排期精准、充满仪式感的亲密，还是那种突如其来的、野蛮生长的亲密？
【忧乐共之】： 有没有那种时候，你表面笑嘻嘻，心里其实特别想往我怀里钻？当时我是不是错过了你的求救信号？
【讳莫如深】： 我有没有哪句无心的话扎了你的心，而你却选择了“闭麦”？来，现在告诉我，我抱抱那个委屈的你。
【温言软语】： 万一我不小心踩到你的“雷区”，怎么做才能让你瞬间消气，不准冷战哦！
【愿为良御】： 坦白局：你内心深处有没有一点点“小野狼”或“小羊羔”的倾向？喜欢什么样的调调？
【以此投木】： 如果用一种水果来形容我们的爱，是甜腻的芒果、清爽的西瓜，还是带刺的榴莲？
【少年之游】： 有没有哪个儿时的“英雄梦”，想让我陪你一起去把它重新点燃？
【潜移暗化】： 跟我在一起后，你有没有被我“带偏”，爱上了某些以前完全无感的东西？
【生死契阔】： 你觉得“爱”是每天都要做的选择题和行动派，还是只要待在那儿就有的状态？
【瑕中存美】： 我身上的哪个小缺点，在你眼里反而像个“萌点”，让你觉得怪可爱的？
【惊鸿叠影】： 来，选一个你最想跟我一起“角色扮演”的剧本或者想一起疯的事！
【日新月异】： 跟我谈恋爱之后，你最满意自己身上发生的哪种“进化”？
【相顾无言】： 聊聊你对“冷暴力”的看法，咱们提前约好，千万别玩这一套好吗？
【如鱼饮水】： 有没有什么奇奇怪怪的情绪，是你觉得我这个笨脑袋永远也理解不了的？试着描述一下？
【终焉之志】： 想象我们白发苍苍的时候，回头看这段感情，你希望它是一场大冒险、一个避风港，还是一段治愈之旅？
【总角往事】： 讲一件你成长过程中最难忘的事吧，不管是威风八面的还是糗到家的。
【初见倾心】： 第一次见我或者第一次亲亲的时候，你心里的小鹿是不是撞得快脑震荡了？
【宜尔子孙】： 在你幻想的未来蓝图里，会不会预留位置给“小神兽”们？
【藕断丝连】： 万一（我说万一哈）我们分开了，你还会贪恋我的身体温度吗？为什么？
【秘而不宣】： 此时此刻，说出一个你从来没跟别人说过的“顶级机密”。
【绝代风华】： 快夸我！捕捉一个我最让你“顶不住”的性感瞬间。
【神会心领】： 你觉得我身上最厉害的“超能力”是什么？是能秒速哄好你，还是一句话就让你安心？
【温存抚慰】： 我们的“温存时间”你满意吗？我做点什么（比如揉揉头、一起看电影）能让你觉得更有安全感？
【兼容并蓄】： 对于“开放式关系”这种前卫的玩法，你的脑回路是怎么想的？
【春宵一刻】： 最近有没有哪次“深度交流”让你觉得时间被偷走了，整个人都沉进去了？
【兰舟并进】： 如果生活是大海，你希望我是带你冲出迷雾的灯塔，还是那个跟你一起划船、随时能靠着的同伴？
【奇思异想】： 说一个你最想跟我一起去实现的、奇奇怪怪的小心愿！
【坦诚相对】： 你觉得情侣之间该“全身心透明”，还是得留那么一丁点“私人禁地”？
【活色生香】： 在你眼里，我什么时候最有生命力、最迷人？描述一下那个画面。
