红色--小动作	选择一位异性玩家壁咚五秒钟，若做不到喝一杯。	【尺度小吗！】
绿色--红包局	在场所有异性玩家喝一杯酒，并添加持卡人的微信。	【花钱喊来的，我肯定任性点】
灰色--私党	轮流向右边的人悄悄问一个问题，被问的人大声说出答案。有人不愿公布答案需要喝一杯酒。	【也能用一杯酒换答案】
红色--大表哥	选择一位异性玩家，在TA身上做十个俯卧撑，差一个喝一口酒。	【不愧是大师兄！】
灰色--逢七必过	数到7或7的倍数时需拍手喊“过”，出错者喝酒	【直接从951开始得了】
绿色--DISS	挑一位前任吐槽，至少要吐槽够五句话，少一句罚一口。	【我要DISS你！】
红色--小圈子	所有人坦白自己SM属性，少数派们喝一杯，羞于启齿的也喝一杯	【调皮的Brat～】
红色--撕纸巾	开始撕纸巾，先传不下去的人喝两杯	【暧昧开始了】
红色--定心	指定两位玩家隔着本卡片KISS五秒钟，TA们做不到需要每人罚一杯。	【希望TA们能定心】
绿色--F426	自己喝一杯，指定一人接受大冒险，若他拒绝则需喝四杯	【清纯男大得吃的秘密武器】
红色--BBS	选择一位异性玩家和对方拥抱大交杯喝一口，做不到罚一杯酒。	【抱抱？】
绿色--作死	在场玩家轮流往公杯里倒任意酒，抽卡人指定一个游戏大家玩，输的人要喝完公杯内的所有酒	【总有人会倒满，活该他自己喝】
绿色--鱼塘	指定一位玩家在微信聊天记录中搜“宝宝”，搜出一个人，喝一杯。	【让你鱼塘那么大】
白色--SOLO	抽卡人任选一位玩家划拳或吹牛，谁输了喝一杯酒。输者今晚要一直以“妈妈”或“爸爸”称呼对方。	【真正的父子局】
绿色--生日快乐	抽到这张卡的人指定一个人当寿星，所有人都可以用生日快乐的理由敬他酒	【最怕酒局突然过生日】
绿色--你&我&他&喝酒	此刻开始，所有人聊天中禁止说“你”、“我”、“他”、“喝“、”酒”这五个字，谁说了就必须喝一杯酒。	【可以讲方言和洋文嘛～】
白色--备胎	盯着一位玩家的眼睛说：“做我备胎吧”，把你杯中酒都倒给对方，如果没有杯中酒，则要求对方喝一杯。	【可怜的备胎】
红色--大舌头	所有人把舌头伸出来，舌头最短的人罚一杯酒。	【别翻白眼】
红色--PDF	指定一人向大家展示相册的最近删除，若TA不愿展示，需要喝两杯	【我要给你写PDF了】
绿色--禁止吸烟	指定一位玩家今晚禁止抽烟，除非他喝三杯酒或完成一个由持卡人指定的大冒险	【我料想你也会喝酒做冒险的】
灰色--逛三园	抽到此牌的玩家需设定一个话题（如“情趣园里有什么”），自己先说一个，顺时针轮流接龙，说不出来的喝酒	【老说动物园很没新意！】
红色--得吃	把酒倒在自己的锁骨，指定一位玩家喝完，对方不愿意喝需要罚一杯酒。	【没锁骨的自己喝】
灰色--照相机	抽到此牌的玩家可随时喊“照相机”，所有人需静止五秒，最先移动者喝酒，若五秒内无人动则此牌作废	【不许动】
白色--岔道	选一位玩家，与TA一起喝三杯酒。	【总有人出其不意】
灰色--2025	从摸到这张牌的人开始，依次掷骰子，投出6点的玩家和其左边玩家依次喝2杯、0杯、2杯和5杯	【这种游戏我一般故意输】
绿色--满分激光枪	从抽到本卡的人开始顺时针回答“人生的意义是什么？”，不愿意回答者罚一杯。	【这可是以我命名的牌！】
灰色--吹牛	轮流介绍自己和家庭，不愿意介绍的喝一杯。	【吹牛争霸赛】
灰色--跳一跳	打开微信跳一跳，先失败的人喝一杯。	【没想到要玩这个吧？】
白色--空降	抽到此牌者喝一杯，可以调换在场所有人的位置，所有被换位置的人都需要喝酒。	【她的微信签名是全国可飞】
绿色--短择	这个局如果有自己有好感的人，自己喝一杯	【别害羞】
白色--CP	指定两人为CP坐在一起，若一方喝酒，另一方也必须陪喝。两人若有一方不愿组成CP需喝一口。	【CPDD】
红色--CRUSH	选择一位玩家向TA把膝盖放到它脚尖，对方让你喝几杯就喝几杯	【沉沦是把主动权给对方】
红色--行情	选择一位异性嘴对嘴喂酒，或跟在场所有异性每人碰一杯。	【希望有你的行情】
绿色--头孢	保留本牌，遇到自己喝酒时可以大喊“我吃了头孢”拒绝喝酒，免掉一次喝酒惩罚后本卡作废。	【我今天吃了头孢】
白色--大动作	做一个动作，右边的人需要模仿这个动作且再加上一个新的动作，如此向右传递，直到有人做不出来，罚一杯酒。	【尺度看你】
白色--扩列	添加在场所有人为好友，每加一个人必须夸对方一句，夸不出来或重复罚一口。	【希望这个局人不多】
白色--男模	所有男生起立假装男模，轮流介绍自己：“姓名+籍贯+特色”，女生需要用酒来竞拍他们，没被拍卖出去的男生罚三杯	【姐姐好】
灰色--暗板	把一个纸团随意藏在手里，让大家猜在那只手里，猜错的人喝。	【悄咪咪的.】
白色--有礼貌	此刻开始，所有人喝完酒把酒杯放到桌子上时必须说“谢谢”，如果不说“谢谢”，就得再喝一杯酒	【做人要有礼貌】
绿色--点兵点将	指定两位玩家换上自己选的情侣头像，发对方照片且置顶在朋友圈，直到今晚酒局结束为止。不愿意的话每人喝两杯酒。	【我们总想把必然假装成偶然】		
灰色--神经病	所有与该持牌者说话的人都需喝酒。使用三次后报废。	【别烦】
灰色--擦边	所有人打开短视频软件展示于桌前，开始往下滑，连滑5个，每刷到一个异性擦边视频自己喝一杯	【看看是谁每天在刷擦边视频】
绿色--发菜	推一个异性的微信名片给在场任意一人，若对方不满意，推荐者喝一杯；若对方满意，则对方喝一杯。	【你是菜农还是果农？】
白色--养鱼	所有人清掉杯中酒，喝不下的人可以选择向身旁异性撒娇，令对方代喝	【别养鱼了！】
白色--手机	手机电量最低于50%的人喝一杯	【该借充电宝了】
白色--上头	所有人轮流往一个杯子里倒酒，谁先倒在外面，谁喝完。	【轻点倒】
绿色--红包女	有人喝酒时，你都需大喊“主人请喝好”并陪喝，直到某位“主人”让你下班。	【上钟了】
白色--接盘	盯着任意一位异性的眼睛对TA说：“我玩累了，我们结婚吧！”，未来三杯酒都由对方代喝。	【谢谢你老实人】
灰色--美杜莎	所有人低头倒数123，同时抬头与一人对视，对视的两人需要同时喊出“美杜莎”，喊慢的人或落单的人罚一杯。	【听说人之间是有量子纠缠的】
白色--天菜	请用三个词描述这个局上某位朋友，大家来猜你描述的是谁？猜错他们喝，猜对你自己喝。	【有没有可能你喜欢的类型刚好在这个局上？】
红色--海王	所有人打开外卖软件，最近一个月购买过避孕套的人喝。	【有点意思】
白色--蹭卡	现场找一位异性搭讪，或微信邀请一位异性来喝酒，做不到的话自罚一杯酒	【靠你了】
红色--自闭	选择一对异性把他们关进小房间，外面人用手机记时60秒，但不告诉他们。他们需要自己估算时间出来，每早或晚出来10秒钟都要喝一杯酒。	【我自闭了！】
红色--狗叫	命令一位玩家对另一位玩家发出狗叫10秒钟，不愿需要喝一杯酒	【别狗叫了】
灰色--揭底	轮流背圆周率（3.14159265328...）先背不出后面数字的人喝。	【九年制义务教育的重要性】
红色--炸鱼	抽卡人向大家展示微信里“被舔”或“跪舔”的聊天记录，没有则喝一杯。	【反正不是我喝】
绿色--大哥	持此牌时，任何人喝酒时，你都可以大喊：“我配不配让你多喝一口？”，让他多喝一杯。	【大哥是这样的】
灰色--下头	此时此刻正在看手机的所有人喝一杯	【专注喝酒！】
白色--组局	除你之外，所有人都需喝一杯。但你需要把在场的大家拉到一个群聊里，发一个手气红包。	【组过局的人，才知道照顾大家有多累】
灰色--指南针	从0-360选一个数字，打开指南针，数字对应方向的人喝一杯。	【上北下南左西右东】
